Entreprise,Nom d'annone,Localisation,Type Contrat,Salaire,Remote,Lien d'annonce,Entreprise nom,Secteur,Effectif,Crée en ,Age Moyen,Pourcentage Femmes,Pourcentage Hommes
ACTINVISION,CONSULTANT TABLEAU - Data Analyst (F/H),Paris,CDI,,,https://www.welcometothejungle.com/fr/companies/actinvision/jobs/consultant-data-visualisation-f-h_strasbourg?q=cdfe7639690d3e349b2eedf7acdc50d7&o=71eda0a2-c774-4fab-bbb3-ad9372f83570&p=true,SUEZ,"Environnement / Développement durable, SocialTech / GreenTech",40000 collaborateurs,Créée en 1880,Âge moyen : 45 ans,,
PERNOD RICARD,Data Architect,Paris,CDI,,,https://www.welcometothejungle.com/fr/companies/pernod-ricard/jobs/data-architect_paris_PR_8bj3W91?q=cdfe7639690d3e349b2eedf7acdc50d7&o=85eed74d-2d38-4e56-b9ae-646ce8100407&p=true,SNCF CONNECT & TECH,"Mobilité, Application mobile, Logiciels, Intelligence artificielle / Machine Learning, Big Data, E-commerce",1300 collaborateurs,Créée en 2000,Âge moyen : 36 ans,35%,65%
NORAUTO INTERNATIONAL,Data Engineer,Villeneuve-d'Ascq,CDI,,,https://www.welcometothejungle.com/fr/companies/norauto-international/jobs/data-engineer_villeneuve-d-ascq_NI_Y5qA90Y?q=cdfe7639690d3e349b2eedf7acdc50d7&o=52ca6f40-c587-4cf6-8a46-3abf258b87bb&p=true,MARINE NATIONALE,"Cybersécurité, Aéronautique / Spatiale, Electronique / Télécommunications, Energie, Restauration, Métallurgie",39000 collaborateurs,Créée en 1626,Âge moyen : 30 ans,20%,80%
MARINE NATIONALE,Data analyst chargé de la transformation numérique F/H,"Cherbourg-en-Cotentin…Voir plus
+118",CDD / Temporaire,850 à 950 € par mois,,https://www.welcometothejungle.com/fr/companies/marine-nationale/jobs/data-analyst-charge-de-la-transformation-numerique-f-h_MN_4w6GVYa?q=9849e8fd94a59ab540362292a2f2e197&o=461e5ba5-653d-4d19-9b95-5ae22b7e7429,FRANCE TÉLÉVISIONS PUBLICITÉ,"Média, Télévision / Production audiovisuelle, Publicité",300 collaborateurs,Créée en 1989,Âge moyen : 40 ans,65%,35%
FRANCE TÉLÉVISIONS PUBLICITÉ,Assistant(e) Ingénieur Data / Dat scientist,Paris,Alternance,"1,5K à 1,9K € par mois",Télétravail fréquent,https://www.welcometothejungle.com/fr/companies/francetvpub/jobs/assistant-ingenieur-data-dat-scientist_paris?q=9849e8fd94a59ab540362292a2f2e197&o=10778f8a-54fe-4304-8aa8-07c4f78844d3,HERMÈS,"Luxe, Distribution sélective, Digital",25185 collaborateurs,Créée en 1837,,67%,33%
MARINE NATIONALE,Data manager H/F,Toulon,CDD / Temporaire,850 à 950 € par mois,,https://www.welcometothejungle.com/fr/companies/marine-nationale/jobs/data-manager-h-f_toulon_MN_wwJ1VJZ?q=9849e8fd94a59ab540362292a2f2e197&o=bc98e3bb-bea6-4919-8eec-94c9071a3054,HERMÈS,"Luxe, Distribution sélective, Digital",25185 collaborateurs,Créée en 1837,,67%,33%
GROUPE SII,Data Scientist senior (H/F) - Lille,Lille,CDI,40 à 48 €,,https://www.welcometothejungle.com/fr/companies/sii/jobs/data-scientist-senior-h-f-lille_lille?q=9849e8fd94a59ab540362292a2f2e197&o=26802d4d-9967-43c8-b50f-207702811939,SEPTEO,"Logiciels, SaaS / Cloud Services",3000 collaborateurs,Créée en 2013,,,
STOCKLY,Data Analyst manager - Paris,Paris,CDI,70K à 110K €,,https://www.welcometothejungle.com/fr/companies/stockly/jobs/data-analyst-manager-paris_paris?q=9849e8fd94a59ab540362292a2f2e197&o=69fe2da1-e08d-4fb5-95ad-2efde371b1a3,SOPRA STERIA,"IT / Digital, Organisation / Management",50000 collaborateurs,Créée en 1968,Âge moyen : 37 ans,30%,70%
STOCKLY,"Team Lead Data (PostgreSQL, Grafana, Materialize, Python) - Paris",Paris,CDI,70K à 110K €,,https://www.welcometothejungle.com/fr/companies/stockly/jobs/head-of-bi-postgresql-grafana-materialize-paris_paris?q=9849e8fd94a59ab540362292a2f2e197&o=cccb593d-1b1f-4a9b-b081-acf4dad74665,HERMÈS,"Luxe, Distribution sélective, Digital",25185 collaborateurs,Créée en 1837,,67%,33%
STOCKLY,Data Product Manager - CDI - Paris,Paris,CDI,,,https://www.welcometothejungle.com/fr/companies/stockly/jobs/tech-product-owner-cdi-paris-2_paris?q=9849e8fd94a59ab540362292a2f2e197&o=5cb12e7d-82cf-4744-84a3-394594d08d17,GROUPE BPCE,"Banque, FinTech / InsurTech, Finance",100000 collaborateurs,Créée en 2009,,57%,43%
